Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
1020 Inc,08/08/2007,C902829792,7375,519130,1,3.90,10.77,2,ONSET Ventures,ONSET Ventures - Unspecified Fund,1.90
1020 Inc,08/08/2007,C902829792,7375,519130,1,3.90,10.77,2,Voyager Capital LLC,"Voyager Capital Fund III, L.P.",2.00
123people Internetservices GmbH,07/29/2008,C903041220,7374,541519,1,1.09,5.19,1,Gcp Gamma Capital Partners Beratungs & Beteiligungs AG,gamma III SCA SICAR,1.09
1366 Technologies Inc,12/21/2007,C902897345,3674,334413,1,12.40,24.73,3,North Bridge Venture Partners LP,"North Bridge Venture Partners VI, L.P.",6.00
1366 Technologies Inc,12/21/2007,C902897345,3674,334413,1,12.40,24.73,3,Polaris Venture Partners,Polaris Ventures Partners - Unspecified Fund,6.00
1366 Technologies Inc,12/21/2007,C902897345,3674,334413,1,12.40,24.73,3,Undisclosed Firm,Undisclosed Fund,-
17a-4 LLC,08/01/2006,C902447226,8742,541618,1,1.00,8.00,1,"Inclusive Ventures, LLC","Inclusive Ventures, LLC",1.00
1-800-Pack-Rat LLC,03/16/2007,C902533195,4214,484210,1,12.08,41.65,2,Envest Ventures,Envest II LLC,1.35
1-800-Pack-Rat LLC,03/16/2007,C902533195,4214,484210,1,12.08,41.65,2,Undisclosed Firm,Undisclosed Fund,-
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Argonaut Private Equity LLC,Argonaut Ventures I LLC,2.98
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,CMEA Development Company LLC,"CMEA Ventures VI, L.P.",4.67
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Kohlberg Kravis Roberts & Co LP,"Kohlberg, Kravis, Roberts & CoL.P. - Unspecified Fund",2.07
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Madrone Capital Partners,"Madrone Partners, L.P.",1.23
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Credit Suisse Private Equity,Masdar Clean Tech Fund,15.00
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Redpoint Ventures,"Redpoint Ventures II, L.P.",4.67
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Rockport Capital Partners,"RockPort Capital Partners II, L.P.",2.97
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,U.S. Venture Partners,U.S. Venture Partners IX,4.67
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Undisclosed Firm,Undisclosed Fund,-
360 Degree Solar Holdings Inc,07/09/2007,C902346745,3674,334413,4,61.90,424.72,10,Virgin Green Fund,"Virgin Green Fund I, L.P.",21.87
360 Degree Solar Holdings Inc,07/18/2008,C902346745,3674,334413,6,29.10,"1,401.42",5,Argonaut Private Equity LLC,Argonaut Ventures I LLC,21.08
360 Degree Solar Holdings Inc,07/18/2008,C902346745,3674,334413,6,29.10,"1,401.42",5,CMEA Development Company LLC,"CMEA Ventures VI, L.P.",5.85
360 Degree Solar Holdings Inc,07/18/2008,C902346745,3674,334413,6,29.10,"1,401.42",5,Credit Suisse Private Equity,Masdar Clean Tech Fund,1.17
360 Degree Solar Holdings Inc,07/18/2008,C902346745,3674,334413,6,29.10,"1,401.42",5,Redpoint Ventures,"Redpoint Ventures II, L.P.",0.50
360 Degree Solar Holdings Inc,07/18/2008,C902346745,3674,334413,6,29.10,"1,401.42",5,U.S. Venture Partners,U.S. Venture Partners IX,0.50
"3D Marketing Technologies, Inc.",05/25/2007,C901715254,7372,511210,3,10.10,22.33,5,Bay Partners,"Bay Partners X Entrepreneurs Fund, L.P.",-
"3D Marketing Technologies, Inc.",05/25/2007,C901715254,7372,511210,3,10.10,22.33,5,Bay Partners,"Bay Partners X, L.P.",-
"3D Marketing Technologies, Inc.",05/25/2007,C901715254,7372,511210,3,10.10,22.33,5,Norwest Venture Partners,Norwest Venture Partners- Unspecified Fund,4.80
"3D Marketing Technologies, Inc.",05/25/2007,C901715254,7372,511210,3,10.10,22.33,5,U.S. Venture Partners,U.S. Venture Partners VIII,2.60
"3D Marketing Technologies, Inc.",05/25/2007,C901715254,7372,511210,3,10.10,22.33,5,Undisclosed Firm,Undisclosed Fund,-
3is Inc,05/02/2008,C901639809,7375,519130,1,0.19,3.00,2,Ann Arbor Spark Foundation,Michigan Pre-Seed Capital Fund,0.09
3is Inc,05/02/2008,C901639809,7375,519130,1,0.19,3.00,2,Undisclosed Firm,Undisclosed Fund,-
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,AllianceBernstein LP,AllianceBernstein L.P. - Unspecified Fund,-
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,Embarcadero Funds,Embarcadero Funds - Unspecified Fund,-
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,Integral Capital Partners,"Integral Capital Partners VII, L.P.",-
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,Mayfield Fund,Mayfield IX,2.48
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,Mayfield Fund,Mayfield XI,5.52
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,Menlo Ventures,"Menlo Ventures IX, L.P.",-
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,Undisclosed Firm,Undisclosed Fund,-
"3PAR, Inc.",03/30/2006,C901291344,3572,334112,5,30.00,352.75,8,"Worldview Technology Partners, Inc.","Worldview Technology Partners IV, L.P.",-
3vr Security Inc,01/17/2006,C901678377,7382,334515,2,10.00,28.98,3,In Q Tel Inc,In-Q-Tel - Unspecified Fund,-
3vr Security Inc,01/17/2006,C901678377,7382,334515,2,10.00,28.98,3,Kleiner Perkins Caufield & Byers LLC,Kleiner Perkins Caufield & Byers - Unspecified Fund,-
3vr Security Inc,01/17/2006,C901678377,7382,334515,2,10.00,28.98,3,Vantagepoint Management Inc,VantagePoint Capital Partners - Unspecified Fund,-
3vr Security Inc,09/06/2006,C901678377,7382,334515,3,9.00,69.64,3,Duff Ackerman & Goodrich LLC,"DAG Ventures, L.P.",-
3vr Security Inc,09/06/2006,C901678377,7382,334515,3,9.00,69.64,3,Kleiner Perkins Caufield & Byers LLC,Kleiner Perkins Caufield & Byers - Unspecified Fund,-
3vr Security Inc,09/06/2006,C901678377,7382,334515,3,9.00,69.64,3,Vantagepoint Management Inc,VantagePoint Capital Partners - Unspecified Fund,-
3vr Security Inc,10/09/2006,C901678377,7382,334515,4,6.00,75.64,4,Duff Ackerman & Goodrich LLC,"DAG Ventures, L.P.",-
