Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
@Japan Media LLC,04/01/2001,C901230228,6799,523999,1,10.23,10.23,1,"H&Q Asia Pacific, Ltd.",Asia Pacific Growth Fund III,10.23
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,TPG Capital Management LP,"Tarrant-ACON Venture Partners, L.P.",-
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Undisclosed Firm,Undisclosed Fund,-
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Vantagepoint Management Inc,"VantagePoint Communications Partners, L.P.",0.45
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Vantagepoint Management Inc,VantagePoint Venture Partners III,1.20
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Voyager Capital LLC,"Voyager Capital Fund II, L.P.",3.60
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Adams Street Partners LLC,BVCF IV,1.00
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Canaan Partners,Canaan Partners - Unspecified Fund,0.70
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,CMEA Development Company LLC,"CMEA Ventures Information Technology II, L.P.",0.19
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,MVC Capital Inc,MVC (FKA; meVC Draper Fisher Jurvetson Fund I),4.00
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Sigma Partners,Sigma Partners - Unspecified Fund,-
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Sprout Group,Sprout Group - Unspecified Fund,0.56
"180Commerce, Inc.",02/21/2001,C901171587,-,-,2,3.10,6.10,3,Armada Investment Group AG,Armada Venture Group - Unspecified Fund,-
"180Commerce, Inc.",02/21/2001,C901171587,-,-,2,3.10,6.10,3,Imlay Investments,Imlay Investments - Unspecified Fund,-
"180Commerce, Inc.",02/21/2001,C901171587,-,-,2,3.10,6.10,3,Undisclosed Firm,Undisclosed Fund,-
"180Commerce, Inc.",10/31/2001,C901171587,-,-,3,1.50,6.10,2,Armada Investment Group AG,Armada Venture Group - Unspecified Fund,1.00
"180Commerce, Inc.",10/31/2001,C901171587,-,-,3,1.50,6.10,2,Imlay Investments,Imlay Investments - Unspecified Fund,0.50
2PM Technologies Ltd,12/20/2001,C901371078,-,-,1,2.97,14.86,1,Icc Venture Capital,ICC Private Equity Fund 1999,2.97
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Accel Partners & Co Inc,Accel Partners - Unspecified Fund,5.03
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Bellsouth Corp,Bell South Ventures Corp.,3.00
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Invesco Private Capital Inc,Chancellor V,1.60
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Doll Capital Management Inc,Doll Technology Investment Fund II,0.78
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Invesco Private Capital Inc,EuroMedia Venture Fund,0.40
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Invesco Private Capital Inc,INVESCO Partnership Fund III,2.00
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Meritech Capital Partners,"Meritech Capital Partners, L.P.",1.15
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Oak Investment Partners,Oak Investment Partners VIII,4.90
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Oak Investment Partners,"Oak Investment Partners X, L.P.",16.73
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Liberty Ridge Capital LLC,Pilgrim-Baxter Hybrid Partners II,5.00
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,SHELL Internet Ventures BV,Shell Internet Ventures,2.00
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Undisclosed Firm,Undisclosed Fund,1.00
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Undisclosed Firm,Undisclosed Fund,0.90
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Undisclosed Firm,Undisclosed Fund,-
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Venrock Inc,Venrock Associates,1.17
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Venrock Inc,"Venrock Associates II, L.P.",1.68
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Whitman Capital LLC,Whitman Capital LLC - Unspecified Fund,0.98
"360 Commerce, Inc.",11/14/2001,C901270663,7372,334611,2,3.00,25.50,3,Lovett Miller & Co Inc,"Lovett Miller Venture Fund II, L.P.",0.94
"360 Commerce, Inc.",11/14/2001,C901270663,7372,334611,2,3.00,25.50,3,SSM Partners LP,"SSM Venture Partners II, L.P.",1.10
"360 Commerce, Inc.",11/14/2001,C901270663,7372,334611,2,3.00,25.50,3,Undisclosed Firm,Undisclosed Fund,-
3Do Co,12/07/2001,C000004522,7372,334611,6,15.72,130.86,3,Gaia Technologies A/S,Gaia Technologies A/S,3.50
3Do Co,12/07/2001,C000004522,7372,334611,6,15.72,130.86,3,HFTP INVESTMENTS L L C,HFTP Investment LLC - Unspecified Fund,9.00
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Amerindo Investment Advisors Inc,"Amerindo Investment Advisors, Inc.- Unspecified Fund",3.00
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Anschutz Investment Co,Anschutz Investment Company,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,RBC Capital Markets Holdings (USA) Inc,Dain Rauscher Corporation - Unspecified Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Embarcadero Funds,Embarcadero Funds - Unspecified Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,iGlobe Partners Ltd,iGlobe Partners Fund LP,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Mayfield Fund,Mayfield IX,4.75
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Mayfield Fund,Mayfield XI Qualified,4.33
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Merrill Lynch Capital Partners Inc,Merrill Lynch Capital Partners - Unspecified Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Mitsubishi Corp,Mitsubishi Corporation - Unspecified Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Nissho Electronics Corp,Nissho Electronics,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Oracle Venture Fund,Oracle Venture Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Oracle America Inc,"Sun Microsystems, Inc.",-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Thomas Weisel Venture Partners LLC,"Thomas Weisel Venture Partners, L.P.",-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Undisclosed Firm,Undisclosed Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Undisclosed Firm,Undisclosed Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Undisclosed Firm,Undisclosed Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,Veritas Software Corp,Veritas Software -Unspecified Fund,-
"3PAR, Inc.",06/28/2001,C901291344,3572,334112,3,100.00,300.00,18,"Worldview Technology Partners, Inc.","Worldview Technology Partners IV, L.P.",10.00
3pl Online AG,08/08/2001,C901187248,-,-,1,-,6.60,1,Fortknox Venture AG,FORTKNOX-VENTURE AG,1.32
3Up Systems Inc,06/30/2001,C901192662,-,-,1,-,6.00,1,Acorn Campus Ventures,Acorn Campus Ventures - Unspecified Fund,2.65
5pmCoUk,04/30/2001,C901274263,7375,519130,2,0.36,1.36,2,Gap Fund Managers Ltd,Strathclyde Investment Fund (SIF),0.03
5pmCoUk,04/30/2001,C901274263,7375,519130,2,0.36,1.36,2,Undisclosed Firm,Undisclosed Fund,-
7thonline Inc,09/01/2001,C901364640,7372,511210,2,5.00,8.00,7,Apax Partners LLP,Apax Partners LLP - Unspecified Fund,-
7thonline Inc,09/01/2001,C901364640,7372,511210,2,5.00,8.00,7,Partnership Fund for New York City,"New York City Investment Fund, LLC",-
7thonline Inc,09/01/2001,C901364640,7372,511210,2,5.00,8.00,7,Tribeca Venture Partners,"Silicon Alley Venture Partners, L.P.",0.30
7thonline Inc,09/01/2001,C901364640,7372,511210,2,5.00,8.00,7,Stonehenge Growth Capital LLC,Stonehenge Capital Fund New York LLC,-
7thonline Inc,09/01/2001,C901364640,7372,511210,2,5.00,8.00,7,Everfield Holdings Ltd,Tembusa Fund,-
7thonline Inc,09/01/2001,C901364640,7372,511210,2,5.00,8.00,7,Undisclosed Firm,Undisclosed Fund,-
7thonline Inc,09/01/2001,C901364640,7372,511210,2,5.00,8.00,7,Undisclosed Firm,Undisclosed Fund,-
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Amerindo Investment Advisors Inc,"Amerindo Investment Advisors, Inc.- Unspecified Fund",-
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Apv Technology Partners,"APV Technology Partners III, L.P.",-
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Olympic Venture Partners,"Olympic Venture Partners IV, L.P.",1.79
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Olympic Venture Partners,"Olympic Venture Partners V, L.P.",7.74
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Portage Venture Partners LLC,"Portage Founders, L.P.",0.64
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Portage Venture Partners LLC,"Portage Venture Fund, L.P.",0.64
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Trinity Ventures LLP,Trinity Ventures - Unspecified Fund,-
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Undisclosed Firm,Undisclosed Fund,-
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Undisclosed Firm,Undisclosed Fund,-
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Undisclosed Firm,Undisclosed Fund,-
"800.com, Inc.",06/12/2001,C000071019,5961,454111,6,20.00,69.80,11,Vulcan Capital Group Llc,Vulcan Capital - Unspecified Fund,-
A Ha,11/16/2001,C901182860,-,-,1,17.00,29.00,3,Riverstone Holdings LLC,"Carlyle/Riverstone Global Energy and Power Fund I, L.P.",-
A Ha,11/16/2001,C901182860,-,-,1,17.00,29.00,3,Mitsubishi International Corp,Mitsubishi,-
A Ha,11/16/2001,C901182860,-,-,1,17.00,29.00,3,Undisclosed Firm,Undisclosed Fund,-
A Life Medical Inc,12/27/2001,C900185508,-,511210,4,4.00,32.25,2,Sorrento Associates Inc,Sorrento Ventures - Unspecified Fund,0.49
A Life Medical Inc,12/27/2001,C900185508,-,511210,4,4.00,32.25,2,Undisclosed Firm,Undisclosed Fund,-
"AccelChip, Inc.",09/15/2001,C901192792,7372,334611,1,2.00,8.00,2,Arch Development Partners LLC,ARCH Development Fund I (ADF I),1.00
"AccelChip, Inc.",09/15/2001,C901192792,7372,334611,1,2.00,8.00,2,Undisclosed Firm,Undisclosed Fund,1.00
Accelent Systems Inc.,10/25/2001,C900546295,7372,334611,2,11.00,32.00,6,Fat Capital Management Co Ltd,"FAT Venture Capital Company, Ltd.",-
Accelent Systems Inc.,10/25/2001,C900546295,7372,334611,2,11.00,32.00,6,Industrial Bank of Taiwan,Industrial Bank of Taiwan - Direct Investment Fund,-
Accelent Systems Inc.,10/25/2001,C900546295,7372,334611,2,11.00,32.00,6,M Group LLC,M Group - Unspecified Fund,3.00
Accelent Systems Inc.,10/25/2001,C900546295,7372,334611,2,11.00,32.00,6,Undisclosed Firm,Undisclosed Fund,-
Accelent Systems Inc.,10/25/2001,C900546295,7372,334611,2,11.00,32.00,6,Undisclosed Firm,Undisclosed Fund,-
Accelent Systems Inc.,10/25/2001,C900546295,7372,334611,2,11.00,32.00,6,Undisclosed Firm,Undisclosed Fund,-
"Accelerant Networks, Inc.",08/30/2001,C901378150,3674,334413,4,17.50,58.13,3,Goldman Sachs & Co,"Goldman, Sachs & Company - Unspecified Fund",-
"Accelerant Networks, Inc.",08/30/2001,C901378150,3674,334413,4,17.50,58.13,3,Mohr Davidow Ventures,Mohr Davidow Ventures V LLC,4.28
"Accelerant Networks, Inc.",08/30/2001,C901378150,3674,334413,4,17.50,58.13,3,"Worldview Technology Partners, Inc.","Worldview Technology Partners IV, L.P.",10.00
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,CROSSROADS CAPITAL PARTNERS L L C,Crossroads Capital Partners,-
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,GGV Capital,Granite Global Ventures,-
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,Menlo Ventures,"Menlo Ventures VIII, L.P.",6.60
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,Mitsubishi Corp,Mitsubishi Corporation - Unspecified Fund,-
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,Menlo Ventures,Undisclosed Fund,0.43
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,Daiwa Corporate Investment Co Ltd,Undisclosed Fund,-
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,Venrock Inc,"Venrock Associates III, L.P.",8.89
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,Vertex Venture Holdings Ltd.,Vertex Management - Unspecified Fund,-
"AcceLight Networks, Inc.",09/13/2001,C900713661,3661,334210,2,60.00,117.55,9,Whitecastle Investments Ltd,Whitecap Venture Partners,-
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Cdib Venture Management,CDIB Venture Management - Unspecified Fund,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,GGV Capital,Granite Global Ventures,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Menlo Ventures,"Menlo Ventures VIII, L.P.",1.08
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Mitsubishi Corp,Mitsubishi Corporation - Unspecified Fund,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Stonewood Capital Management Inc,Stonewood Capital Management,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Daiwa Corporate Investment Co Ltd,Undisclosed Fund,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Undisclosed Firm,Undisclosed Fund,-
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Venrock Inc,Venrock Associates - Unspecified Fund,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Vertex Venture Holdings Ltd.,Vertex Management - Unspecified Fund,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Western Technology Investment,Western Technology Investment - Unspecified Fund,6.00
"AcceLight Networks, Inc.",11/19/2001,C900713661,3661,334210,3,60.00,119.29,11,Whitecastle Investments Ltd,Whitecap Venture Partners,6.00
Accellion Inc,10/03/2001,C901177453,7375,519130,2,5.95,30.00,5,Baring Private Equity Asia Ltd,Baring Asia Private Equity Fund II,-
Accellion Inc,10/03/2001,C901177453,7375,519130,2,5.95,30.00,5,ES Group Ventures Pty Ltd,ES Group Ventures #1,0.05
Accellion Inc,10/03/2001,C901177453,7375,519130,2,5.95,30.00,5,Tinshed Trading Group,Tinshed Corporation - Direct Investment Fund,-
Accellion Inc,10/03/2001,C901177453,7375,519130,2,5.95,30.00,5,Undisclosed Firm,Undisclosed Fund,-
Accellion Inc,10/03/2001,C901177453,7375,519130,2,5.95,30.00,5,Undisclosed Firm,Undisclosed Fund,-
Accentcare Inc,05/11/2001,C900542589,8082,621610,4,24.50,54.00,7,CHP Management Inc,"Cardinal Health Partners, L.P.",-
Accentcare Inc,05/11/2001,C900542589,8082,621610,4,24.50,54.00,7,Highland Capital Partners LLC,Highland Capital Partners V Family,9.90
Accentcare Inc,05/11/2001,C900542589,8082,621610,4,24.50,54.00,7,Mission Ventures Inc,"Mission Ventures, L.P.",-
Accentcare Inc,05/11/2001,C900542589,8082,621610,4,24.50,54.00,7,Salix Ventures LP,"Salix Ventures II, L.P.",2.87
Accentcare Inc,05/11/2001,C900542589,8082,621610,4,24.50,54.00,7,Salix Ventures LP,"Salix Ventures, L.P.",0.75
Accentcare Inc,05/11/2001,C900542589,8082,621610,4,24.50,54.00,7,Sightline Partners LLC,"SightLine Healthcare Fund III, L.P.",0.75
Accentcare Inc,05/11/2001,C900542589,8082,621610,4,24.50,54.00,7,Three Arch Partners LP,"Three Arch Capital, L.P.",9.55
Access Intelligence LLC,07/01/2001,C900568269,8742,522110,3,8.99,82.29,1,Veronis Suhler Stevenson LLC,VS&A Communications Partners III,8.99
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Accel Partners & Co Inc,Accel Partners - Unspecified Fund,0.39
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Accel Partners & Co Inc,Accel V L.P.,-
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Advanced Fibre Communications Inc,Advanced Fibre Communications,6.00
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,BancBoston Capital/BancBoston Ventures,BancBoston Capital/BancBoston Ventures - Unspecified Fund,0.99
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Highland Capital Partners LLC,Highland Capital Partners IV Family,0.10
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Ignite Group,IGNITE Ventures II,0.09
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,NIF SMBC Ventures Usa Inc,"NIF Ventures USA, Inc.-Unspecified Fund",0.12
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Sequoia Capital,Sequoia Capital VII,0.34
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Tudor Ventures,"Tudor Private Equity Fund, LP",0.49
"AccessLan Communications, Inc.",08/27/2001,C900187478,3669,334290,7,16.00,80.00,10,Undisclosed Firm,Undisclosed Fund,-
"Acclaim Entertainment, Inc.",07/27/2001,C000000053,7372,334611,2,33.60,280.68,4,BROOKWOOD PARTNERS L P,Brookwood Partners - Unspecified Fund,-
"Acclaim Entertainment, Inc.",07/27/2001,C000000053,7372,334611,2,33.60,280.68,4,Gmac Residential Funding Corp,GMAC Venture Capital Fund,-
"Acclaim Entertainment, Inc.",07/27/2001,C000000053,7372,334611,2,33.60,280.68,4,Raytheon Ventures,Raytheon Ventures - Unspecified Fund,-
"Acclaim Entertainment, Inc.",07/27/2001,C000000053,7372,334611,2,33.60,280.68,4,Triton Ventures,Triton Ventures - Unspecified Fund,-
Acclivity Photonics Inc,02/26/2001,C901167719,3827,333314,1,1.75,10.03,3,Crosspoint Venture Partners,Crosspoint Venture Partners - Unspecified Fund,0.25
Acclivity Photonics Inc,02/26/2001,C901167719,3827,333314,1,1.75,10.03,3,Tpg Growth LLC,TPG Ventures,-
Acclivity Photonics Inc,02/26/2001,C901167719,3827,333314,1,1.75,10.03,3,Undisclosed Firm,Undisclosed Fund,-
Accruent LLC,08/23/2001,C901289731,7372,511210,2,10.00,25.00,5,FirstMark Capital LLC,FVMP II,2.60
Accruent LLC,08/23/2001,C901289731,7372,511210,2,10.00,25.00,5,InnoCal Venture Capital,"InnoCal II, L.P.",3.00
Accruent LLC,08/23/2001,C901289731,7372,511210,2,10.00,25.00,5,Marcus & Millichap Venture Partners (AKA: MMVP),Marcus & Millichap,0.50
Accruent LLC,08/23/2001,C901289731,7372,511210,2,10.00,25.00,5,Red Rock Ventures,"Red Rock Ventures II, L.P.",3.15
Accruent LLC,08/23/2001,C901289731,7372,511210,2,10.00,25.00,5,Undisclosed Firm,Undisclosed Fund,-
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Mentor Consulting Corp,Ascentek Venture Capital Corporation,0.35
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Fortune Venture Investment Grp,Fortune Technology Fund I,0.50
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Fortune Venture Investment Grp,"Fortune Technology Seed Fund, Ltd.",0.50
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Fortune Venture Investment Grp,Golden Technology Venture Capital Investment Corporation,0.28
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Smart Technology Ventures,Smart Technology Ventures III,3.50
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Undisclosed Firm,Undisclosed Fund,0.05
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Undisclosed Firm,Undisclosed Fund,0.10
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Undisclosed Firm,Undisclosed Fund,0.35
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Undisclosed Firm,Undisclosed Fund,0.16
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Undisclosed Firm,Undisclosed Fund,0.28
"Accumux Technologies, Inc.",04/27/2001,C901175859,3661,334210,1,6.35,14.35,11,Undisclosed Firm,Undisclosed Fund,-
Accusource Solutions Inc,12/20/2001,C900729299,2834,325412,1,3.04,2.50,2,Commerce Capital Group LLC,Commerce Capital - Unspecified Fund,1.04
Accusource Solutions Inc,12/20/2001,C900729299,2834,325412,1,3.04,2.50,2,Independent Bankers Capital Funds,"Independent Bankers Capital Fund, L.P.",2.00
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,Advent International Corp,Advent International Corporation - Unspecified Fund,2.50
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,Atlas Venture,Atlas Venture V,6.91
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,BEAR STEARNS HEALTH INNOVENTURES L P,Bear Stearns Health InnoVentures,7.50
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,Connecticut Innovations Inc,"Connecticut Innovations, Inc. - Unspecified Fund",3.00
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,KBL HEALTHCARE VENTURES L P,KBL Healthcare Ventures,-
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,Oakwood Medical Investors,Oakwood Medical Investors III,1.80
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,Societe Generale,SG Capital Partners,-
Achillion Pharmaceuticals Inc,11/20/2001,C900187630,2834,325412,5,45.00,74.10,8,Sv Life Sciences Advisers Llp,SV Life Sciences Fund I,-
ACI Global Corp.,09/30/2001,C000044077,8071,621511,2,1.00,16.92,2,Ceo Venture Fund,CEO Venture Fund III,0.10
"Acme International Enterprises, Inc.",10/01/2001,C902096026,3559,333298,1,-,39.93,1,Equinox Investment Partners LLC,"KB Mezzanine Fund II, L.P.",1.29
Acme Packet Inc,01/03/2001,C901170529,7373,541512,2,14.00,40.00,3,Beachhead Capital,Beachhead Capital - Unspecified Fund,-
Acme Packet Inc,01/03/2001,C901170529,7373,541512,2,14.00,40.00,3,Canaan Partners,Canaan Partners - Unspecified Fund,3.00
Acme Packet Inc,01/03/2001,C901170529,7373,541512,2,14.00,40.00,3,Menlo Ventures,"Menlo Ventures IX, L.P.",8.57
"Acorda Therapeutics, Inc.",03/09/2001,C900187748,2836,621511,7,6.00,98.00,2,Merrill Lynch Capital Partners Inc,Merrill Lynch Capital Partners - Unspecified Fund,-
"Acorda Therapeutics, Inc.",03/09/2001,C900187748,2836,621511,7,6.00,98.00,2,Undisclosed Firm,Undisclosed Fund,-
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,Focus Ventures Ltd,Focus Ventures II,0.41
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,Focus Ventures Ltd,"FV Investors II A, L.P.",0.01
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,Focus Ventures Ltd,"FV Investors II Q.P., L.P.",0.02
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,Greylock Partners LLC,"Greylock Equity, L.P.",4.15
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,Investcorp Bank BSC,Investcorp - Unspecified Fund,-
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,J & W Seligman and Co Inc,J&W Seligman & Company,-
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,Norwest Venture Partners,Norwest Venture Partners- Unspecified Fund,3.54
"Acta Technology, Inc.",08/19/2001,C900430800,7372,334611,9,25.00,71.88,8,U.S. Venture Partners,"U.S. Venture Partners V, L.P.",3.10
Actelis Networks Inc,04/27/2001,C900465188,3661,334220,3,46.20,129.60,11,Anschutz Investment Co,Anschutz Investment Company,-
Actelis Networks Inc,04/27/2001,C900465188,3661,334220,3,46.20,129.60,11,Carlyle Group LP,"Carlyle Venture Partners II, L.P.",10.00
Actelis Networks Inc,04/27/2001,C900465188,3661,334220,3,46.20,129.60,11,Draper Fisher Jurvetson,Draper Fisher Jurvetson - Unspecified Fund,-
Actelis Networks Inc,04/27/2001,C900465188,3661,334220,3,46.20,129.60,11,Global Catalyst Partners,Global Catalyst Partners - Unspecified Fund,-
Actelis Networks Inc,04/27/2001,C900465188,3661,334220,3,46.20,129.60,11,Innovacom Gestion SAS,Innovacom 4,-
