Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"2313Coin, Inc.",03/29/1991,C900673682,3571,334419,6,-,11.60,2,South Atlantic Venture Fund L P,"South Atlantic Venture Fund II, L.P.",1.14
"2313Coin, Inc.",03/29/1991,C900673682,3571,334419,6,-,11.60,2,South Atlantic Venture Fund L P,"South Atlantic Venture Fund, L.P.",0.50
"2C Optics, Inc.",07/01/1994,C900183251,3851,339115,2,2.70,34.50,5,Advent International Corp,Advent International Investors,-
"2C Optics, Inc.",07/01/1994,C900183251,3851,339115,2,2.70,34.50,5,CMEA Development Company LLC,"Chemicals and Materials Enterprise Associates, L.P.",0.16
"2C Optics, Inc.",07/01/1994,C900183251,3851,339115,2,2.70,34.50,5,"Crocker Capital, Inc.",Crocker Capital/Crocker Assoc.,-
"2C Optics, Inc.",07/01/1994,C900183251,3851,339115,2,2.70,34.50,5,Medicus Venture Partners,Medicus Venture Partners,-
"2C Optics, Inc.",07/01/1994,C900183251,3851,339115,2,2.70,34.50,5,Undisclosed Firm,Undisclosed Fund,-
Aavid Thermalloy LLC,10/07/1993,C901307585,3671,334413,1,5.90,7.06,3,Oak Investment Partners,Oak Investment Partners V,2.69
Aavid Thermalloy LLC,10/07/1993,C901307585,3671,334413,1,5.90,7.06,3,"Sterling Investment Partners, L.P.","Sterling Investment Partners, L.P. - Unspecified Fund",-
Aavid Thermalloy LLC,10/07/1993,C901307585,3671,334413,1,5.90,7.06,3,Undisclosed Firm,Undisclosed Fund,-
"Abtox, Inc.",11/01/1993,C900377688,3845,334517,13,1.50,35.00,5,Dougery Ventures LLC,D&W III International Investors Partnership,0.01
"Abtox, Inc.",11/01/1993,C900377688,3845,334517,13,1.50,35.00,5,Dougery Ventures LLC,Dougery & Wilder II,0.25
"Abtox, Inc.",11/01/1993,C900377688,3845,334517,13,1.50,35.00,5,Dougery Ventures LLC,"Dougery, Jones & Wilder III",0.24
"Abtox, Inc.",11/01/1993,C900377688,3845,334517,13,1.50,35.00,5,Undisclosed Firm,Undisclosed Fund,-
"Abtox, Inc.",11/01/1993,C900377688,3845,334517,13,1.50,35.00,5,Undisclosed Firm,Undisclosed Fund,-
Accelrys Inc,06/13/1994,C000003598,7372,511210,3,10.30,31.80,3,Abingworth Management Ltd,Abingworth Bioventures,0.53
Accelrys Inc,06/13/1994,C000003598,7372,511210,3,10.30,31.80,3,Greylock Partners LLC,Greylock Ventures L.P.,-
Accelrys Inc,06/13/1994,C000003598,7372,511210,3,10.30,31.80,3,Oak Investment Partners,Oak Investment Partners V,2.40
Accelrys Inc,10/01/1994,C000003598,7372,511210,4,7.00,192.00,1,Schering-Plough Corporation,Schering-Plough Corp.,-
Accolade Inc,01/01/1993,C900187339,7372,621999,2,11.00,36.00,1,Cornerstone Equity Investors LLC,Prudential Private Equity Investors III,11.00
"Accom, Inc.",12/02/1994,C000030131,3663,334220,4,2.30,22.67,4,El Dorado Ventures,"El Dorado C&L Fund, L.P.",0.02
"Accom, Inc.",12/02/1994,C000030131,3663,334220,4,2.30,22.67,4,El Dorado Ventures,El Dorado Technology IV,0.05
"Accom, Inc.",12/02/1994,C000030131,3663,334220,4,2.30,22.67,4,El Dorado Ventures,El Dorado Ventures,0.95
"Accom, Inc.",12/02/1994,C000030131,3663,334220,4,2.30,22.67,4,El Dorado Ventures,El Dorado Ventures III,1.28
"Accom, Inc.",01/01/1990,C000030131,3663,334220,2,1.94,4.93,1,Undisclosed Firm,Undisclosed Fund,-
Accredited Home Lenders Holding Co,12/28/1994,C000084189,6162,522292,1,2.42,15.07,1,Crosspoint Venture Partners,Crosspoint Venture Partners 1993,2.42
Accuwave Corp,01/01/1991,C900111532,-,-,2,1.20,6.80,2,ALPHA CAPITAL VENTURE PARTNERS L P,Alpha Partners I,-
Accuwave Corp,01/01/1991,C900111532,-,-,2,1.20,6.80,2,Technology Investment Fund Inc,"Technology Investment Fund, Incorporated",-
ACE*COMM Corporation,11/18/1991,C000030771,4813,517110,1,1.75,5.47,2,Ceo Venture Fund,CEO Venture Fund II,1.70
ACE*COMM Corporation,11/18/1991,C000030771,4813,517110,1,1.75,5.47,2,Undisclosed Firm,Undisclosed Fund,-
"ACI Worldwide, Inc.",12/01/1993,C000004569,7372,511210,1,20.00,28.39,4,"ABS Capital Partners, Inc.",ABS Capital Partners - Unspecified Fund,-
"ACI Worldwide, Inc.",12/01/1993,C000004569,7372,511210,1,20.00,28.39,4,Greylock Partners LLC,Greylock Partners - Unspecified Fund,-
"ACI Worldwide, Inc.",12/01/1993,C000004569,7372,511210,1,20.00,28.39,4,JMI Management Inc,JMI Equity Fund,-
"ACI Worldwide, Inc.",12/01/1993,C000004569,7372,511210,1,20.00,28.39,4,Norwest Equity Partners,Norwest Equity Partners IV,8.00
"AcryMed, Inc.",04/01/1994,C900187879,3841,339112,1,0.90,3.00,1,Pacific Northwest Partners SBIC LP,Pacific Northwest Partners-Unspecified Fund,-
Acstar Insurance Co,07/12/1988,C900899134,-,-,1,33.00,33.26,3,Apex Venture Partners LLC,Apex Investment Fund,-
Acstar Insurance Co,07/12/1988,C900899134,-,-,1,33.00,33.26,3,First Analysis Corp,Environmental Venture Fund,1.50
